lemRank,lemma,word
1,the,the
1,the,ze
2,be,is
2,be,was
2,be,'s
2,be,be
2,be,are
2,be,were
2,be,'re
2,be,been
2,be,'m
2,be,being
2,be,am
2,be,s
3,and,and
4,a,a
4,a,an
5,of,of
6,to,to
6,to,na
6,to,ta
7,in,in
8,I,i
9,you,you
9,you,ya
9,you,
9,you,youse
9,you,yous
10,it,it
10,it,
11,have,have
11,have,had
11,have,has
11,have,'ve
11,have,'d
11,have,having
11,have,hath
11,have,haveing
12,to,to
13,that,that
14,for,for
15,do,do
15,do,did
15,do,does
15,do,doing
15,do,done
15,do,doin
15,do,doth
15,do,don
16,he,he
16,he,
17,with,with
18,on,on
19,this,this
20,n't,n't
21,we,we
22,that,that
23,not,not
24,but,but
25,they,they
26,say,said
26,say,say
26,say,says
26,say,saying
27,at,at
28,what,what
29,his,his
30,from,from
31,go,go
31,go,going
31,go,went
31,go,gon
31,go,gone
31,go,goes
31,go,goin
31,go,gos
32,or,or
33,by,by
34,get,get
34,get,got
34,get,getting
34,get,gets
34,get,gotten
34,get,gettin
35,she,she
36,my,my
37,can,can
37,can,ca
38,as,as
39,know,know
39,know,knew
39,know,known
39,know,knows
39,know,knowing
39,know,knowed
40,if,if
41,me,me
42,your,your
43,all,all
44,who,who
44,who,
45,about,about
46,their,their
47,will,will
47,will,'ll
47,will,wo
48,so,so
49,would,would
50,make,make
50,make,made
50,make,making
50,make,makes
50,make,maketh
50,make,makeing
50,make,maked
51,just,just
52,up,up
53,think,think
53,think,thought
53,think,thinking
53,think,thinks
54,time,time
54,time,times
55,there,there
56,see,see
56,see,seen
56,see,saw
56,see,seeing
56,see,sees
57,her,her
58,as,as
59,out,out
60,one,one
61,come,come
61,come,came
61,come,coming
61,come,comes
61,come,comin
61,come,cometh
61,come,comeing
62,people,people
62,people,peoples
62,people,peo-ple
63,take,take
63,take,took
63,take,taking
63,take,taken
63,take,takes
63,take,takin
64,year,years
64,year,year
65,him,him
66,them,them
66,them,em
66,them,thems
67,some,some
68,want,want
68,want,wanted
68,want,wants
68,want,wan
68,want,wanting
68,want,wans
69,how,how
70,when,when
71,which,which
72,now,now
73,like,like
74,other,other
74,other,others
75,could,could
76,our,our
77,into,into
78,here,here
79,then,then
80,than,than
81,look,look
81,look,looking
81,look,looked
81,look,looks
81,look,lookin
82,way,way
82,way,ways
83,more,more
84,these,these
85,no,no
86,thing,things
86,thing,thing
87,well,well
88,because,because
89,also,also
90,two,two
90,two,twos
91,use,used
91,use,use
91,use,using
91,use,uses
92,tell,tell
92,tell,told
92,tell,telling
92,tell,tells
92,tell,telled
93,good,good
94,first,first
95,man,man
95,man,men
95,man,mans
96,day,day
96,day,days
96,day,daies
97,find,find
97,find,found
97,find,finding
97,find,finds
98,give,give
98,give,given
98,give,gave
98,give,giving
98,give,gives
98,give,giveth
98,give,gived
99,more,more
100,new,new
100,new,newest
100,new,newer
101,one,one
102,us,us
103,any,any
104,those,those
105,very,very
106,her,her
107,need,need
107,need,needed
107,need,needs
107,need,needing
108,back,back
109,there,there
110,should,should
111,even,even
112,only,only
113,many,many
114,really,really
115,work,work
115,work,working
115,work,worked
115,work,works
115,work,wrought
116,life,life
116,life,lives
116,life,lifes
117,why,why
118,right,right
119,down,down
120,on,on
121,try,trying
121,try,try
121,try,tried
121,try,tries
121,try,tryin
121,try,tryed
122,let,let
122,let,letting
123,something,something
123,something,somethin
123,something,some-thing
124,too,too
125,call,called
125,call,call
125,call,calling
125,call,calls
126,woman,women
126,woman,woman
126,woman,womans
127,may,may
128,still,still
129,through,through
130,mean,mean
130,mean,means
130,mean,meant
130,mean,meaning
131,after,after
132,never,never
133,no,no
134,world,world
134,world,worlds
135,in,in
136,feel,feel
136,feel,felt
136,feel,feeling
136,feel,feels
137,yeah,yeah
138,great,great
138,great,greater
138,great,greatest
139,last,last
140,child,children
140,child,child
140,child,childrens
140,child,childs
141,oh,oh
142,over,over
143,ask,asked
143,ask,ask
143,ask,asking
143,ask,asks
144,when,when
145,as,as
146,school,school
146,school,schools
147,state,state
147,state,states
148,much,much
149,talk,talk
149,talk,talking
149,talk,talked
149,talk,talks
149,talk,talkin
150,out,out
151,keep,keep
151,keep,kept
151,keep,keeping
151,keep,keeps
152,leave,left
152,leave,leave
152,leave,leaving
152,leave,leaves
152,leave,leaved
153,put,put
153,put,putting
153,put,puts
153,put,putted
154,like,like
154,like,liked
154,like,likes
154,like,liking
155,help,help
155,help,helped
155,help,helping
155,help,helps
156,big,big
156,big,biggest
156,big,bigger
157,where,where
158,same,same
159,all,all
160,own,own
161,while,while
162,start,started
162,start,start
162,start,starting
162,start,starts
163,three,three
163,three,threes
164,high,high
164,high,higher
164,high,highest
165,every,every
166,another,another
167,become,become
167,become,became
167,become,becomes
167,become,becoming
168,most,most
169,between,between
170,happen,happened
170,happen,happen
170,happen,happens
170,happen,happening
170,happen,happend
170,happen,hap-pen
170,happen,happended
171,family,family
171,family,families
171,family,familys
172,over,over
173,president,president
173,president,presidents
174,old,old
174,old,older
174,old,oldest
175,yes,yes
176,house,house
176,house,houses
177,show,show
177,show,showed
177,show,shows
177,show,shown
177,show,showing
178,again,again
179,student,students
179,student,student
180,so,so
181,seem,seems
181,seem,seem
181,seem,seemed
181,seem,seeming
182,might,might
183,part,part
183,part,parts
183,part,parti
184,hear,hear
184,hear,heard
184,hear,hearing
184,hear,hears
184,hear,heared
185,its,its
186,place,place
186,place,places
187,problem,problem
187,problem,problems
188,where,where
189,believe,believe
189,believe,believed
189,believe,believes
189,believe,believing
189,believe,beleive
189,believe,belive
189,believe,beleives
189,believe,beleived
190,country,country
190,country,countries
190,country,countrys
191,always,always
192,week,week
192,week,weeks
193,point,point
193,point,points
194,hand,hand
194,hand,hands
195,off,off
196,play,play
196,play,playing
196,play,played
196,play,plays
197,turn,turned
197,turn,turn
197,turn,turns
197,turn,turning
198,few,few
199,group,group
199,group,groups
200,such,such
201,against,against
202,run,run
202,run,running
202,run,ran
202,run,runs
202,run,runneth
202,run,runing
203,guy,guy
203,guy,guys
204,about,about
205,case,case
205,case,cases
205,case,casei
206,question,question
206,question,questions
206,question,ques-tion
207,work,work
208,night,night
208,night,nights
209,live,live
209,live,living
209,live,lived
209,live,lives
210,game,game
210,game,games
211,number,number
211,number,numbers
212,write,wrote
212,write,write
212,write,written
212,write,writing
212,write,writes
212,write,writ
213,bring,bring
213,bring,brought
213,bring,bringing
213,bring,brings
213,bring,brung
214,without,without
215,money,money
215,money,moneys
215,money,m-o-n-e-y
216,lot,lot
216,lot,lots
217,most,most
218,book,book
218,book,books
219,system,system
219,system,systems
219,system,sys-tem
220,government,government
220,government,governments
220,government,govt
220,government,govern-ment
221,next,next
222,city,city
222,city,cities
222,city,citys
223,company,company
223,company,companies
223,company,companys
223,company,com-pany
224,story,story
224,story,stories
224,story,storys
225,today,today
225,today,to-day
226,job,job
226,job,jobs
227,move,move
227,move,moved
227,move,moving
227,move,moves
228,must,must
229,bad,bad
229,bad,worse
229,bad,worst
229,bad,baddest
229,bad,badder
230,friend,friends
230,friend,friend
231,during,during
232,begin,began
232,begin,begin
232,begin,begins
232,begin,beginning
232,begin,begun
232,begin,begining
233,love,love
233,love,loved
233,love,loves
233,love,loving
234,each,each
235,hold,hold
235,hold,held
235,hold,holding
235,hold,holds
236,different,different
236,different,dif-ferent
237,American,american
238,little,little
238,little,littlest
238,little,littler
239,before,before
240,ever,ever
241,word,words
241,word,word
242,fact,fact
242,fact,facts
243,right,right
243,right,rights
244,read,read
244,read,reading
244,read,reads
245,anything,anything
245,anything,any-thing
246,nothing,nothing
246,nothing,nuthin
247,sure,sure
247,sure,surest
247,sure,surer
248,small,small
248,small,smaller
248,small,smallest
249,month,months
249,month,month
250,program,program
250,program,programs
250,program,programme
250,program,programmes
250,program,pro-gram
251,maybe,maybe
252,right,right
252,right,righter
252,right,rightest
253,under,under
254,business,business
254,business,businesses
254,business,busi-ness
254,business,businesss
255,home,home
255,home,homes
256,kind,kind
256,kind,kinds
257,stop,stop
257,stop,stopped
257,stop,stops
257,stop,stopping
258,pay,pay
258,pay,paid
258,pay,paying
258,pay,pays
258,pay,payed
259,study,study
259,study,studies
260,since,since
261,issue,issue
261,issue,issues
262,name,name
262,name,names
263,idea,idea
263,idea,ideas
264,room,room
264,room,rooms
265,percent,percent
265,percent,percents
265,percent,per-cent
266,far,far
266,far,further
266,far,farther
266,far,farthest
266,far,furthest
267,away,away
268,law,law
268,law,laws
269,actually,actually
270,large,large
270,large,larger
270,large,largest
271,though,though
272,provide,provide
272,provide,provided
272,provide,provides
272,provide,providing
273,lose,lost
273,lose,lose
273,lose,losing
273,lose,loses
274,power,power
274,power,powers
275,kid,kids
275,kid,kid
276,war,war
276,war,wars
276,war,warred
277,understand,understand
277,understand,understood
277,understand,understanding
277,understand,understands
277,understand,under-stand
277,understand,under-standing
278,head,head
278,head,heads
278,head,heading
279,mother,mother
279,mother,mothers
279,mother,moth-er
280,real,real
280,real,realer
280,real,realest
281,best,best
281,best,bestest
282,team,team
282,team,teams
283,eye,eyes
283,eye,eye
284,long,long
284,long,longer
284,long,longest
285,long,long
285,long,longer
285,long,longest
286,side,side
286,side,sides
287,water,water
287,water,waters
288,young,young
288,young,younger
288,young,youngest
289,wait,wait
